Название карты;Ссылка на карту;Банк;Изображение карты
Кредитна картка «Хочу-карта»;https://minfin.com.ua//ua/cards/116-1-aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Кредитна картка «Sportbank»;https://minfin.com.ua//ua/cards/11421-302-sportbank/;sportbank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/607fe91cae6a8.png
Кредитна картка «Сaméléon»;https://minfin.com.ua//ua/cards/13435-3-alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
Кредитна картка «Еко-кредитка»;https://minfin.com.ua//ua/cards/4986-5-ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Кредитна картка «soloМандри»;https://minfin.com.ua//ua/cards/13-9-pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79c882d.png
Кредитна картка «Велика п'ятірка»;https://minfin.com.ua//ua/cards/59-15-taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
Кредитна картка «Зелена»;https://minfin.com.ua//ua/cards/3492-22-a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Кредитна картка «Monobank»;https://minfin.com.ua//ua/cards/306-72-monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
Кредитна картка «Benefit New»;https://minfin.com.ua//ua/cards/12391-119-marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
Кредитна картка «Card Blanche Blue»;https://minfin.com.ua//ua/cards/58-10-ideabank/;Ідея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabe66c5d.png
Кредитна картка «Універсальна»;https://minfin.com.ua//ua/cards/14-4-privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Кредитна картка «Коко Кард»;https://minfin.com.ua//ua/cards/3795-21-forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
Кредитна картка «Платинум Преміум +»;https://minfin.com.ua//ua/cards/12323-97-ukrstroyinvestbank/;Укрбудінвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
Кредитна картка «GlobusPlus»;https://minfin.com.ua//ua/cards/14359-26-globus/;Глобус;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/626b99c5e806e.png
Кредитна картка «Neocard»;https://minfin.com.ua//ua/cards/13983-401-neobank/;Neobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/619ba9e66ebb5.png
Дебетова картка «Ощадна картка»;https://minfin.com.ua//ua/cards/12329-76-agroprosperis-bank/;Агропросперіс Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8adda8352d.png
Універсальна картка World;https://minfin.com.ua//ua/cards/12339-115-rwsbank/;РВС Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62149301af8e6.png
Дебетова картка «Універсальна»;https://minfin.com.ua//ua/cards/12822-34-bis/;Банк інвестицій та заощаджень;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062223d1b606.png
Пакет послуг «Smart»;https://minfin.com.ua//ua/cards/12540-2-credit-agricole/;Креді Агріколь Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60621fdc4c25d.png
Дебетова картка «Дитяча картка»;https://minfin.com.ua//ua/cards/12758-90-oschadbank/;Ощадбанк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062ead615f3f.png
